                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 0.8377,                0.34079,                 1.1028,                0.95966,                 0.9777,                 0.9909,                0.72791,                 1.0036,                0.36579,                 1.2268,              0.0005546,              0.0005546,              0.0005546
                     75,                0.84873,                0.34026,                  1.109,                0.95642,                0.98005,                0.99151,                0.74168,                0.95991,                0.36206,                 1.1923,              0.0005348,              0.0005348,              0.0005348
                     76,                0.83796,                0.34119,                 1.0924,                0.96104,                 0.9777,                0.99183,                0.74423,                 0.9631,                0.35804,                 1.1953,               0.000515,               0.000515,               0.000515
                     77,                0.84298,                0.33604,                  1.096,                0.95969,                0.97808,                 0.9911,                0.72628,                0.99749,                0.35955,                 1.2166,              0.0004952,              0.0004952,              0.0004952
                     78,                0.82907,                0.33256,                  1.092,                0.96426,                0.98171,                0.99138,                 0.7388,                0.97331,                0.35596,                 1.2027,              0.0004754,              0.0004754,              0.0004754
                     79,                0.83099,                0.32948,                 1.0932,                0.95681,                0.98817,                0.99149,                0.74719,                0.96348,                0.35711,                 1.1956,              0.0004556,              0.0004556,              0.0004556
                     80,                0.84042,                0.33728,                 1.1002,                0.94961,                0.97318,                0.98879,                0.73556,                 1.0033,                0.36524,                 1.2255,              0.0004358,              0.0004358,              0.0004358
                     81,                0.82624,                 0.3353,                 1.0934,                0.96918,                0.96596,                0.99032,                 0.7406,                0.95532,                0.35255,                 1.1934,               0.000416,               0.000416,               0.000416
                     82,                0.82544,                0.33231,                 1.0942,                0.97161,                0.96394,                0.99048,                0.73039,                 0.9775,                0.35312,                 1.2049,              0.0003962,              0.0003962,              0.0003962
                     83,                0.81545,                0.32652,                 1.0765,                0.97173,                0.96831,                0.99072,                0.73475,                0.96811,                0.34715,                  1.202,              0.0003764,              0.0003764,              0.0003764
                     84,                0.80452,                0.32436,                 1.0869,                 0.9783,                0.96714,                0.99125,                0.73777,                0.96918,                0.34858,                 1.2038,              0.0003566,              0.0003566,              0.0003566
                     85,                0.81323,                0.31912,                 1.0736,                0.96593,                0.96515,                0.99049,                0.72516,                0.99489,                0.35732,                  1.215,              0.0003368,              0.0003368,              0.0003368
